,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,earns,fold
0,0.2926829268292683,0.0,0.21310392926425684,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0,4
1,0.34146341463414637,0.3333333333333333,0.33759086655583276,0.14285714285714285,0.8888888888888888,0.25,0.125,0.25,0.3333333333333333,0.0,0.0,0.0,0.7894736842105263,0.25,1,1
2,0.3902439024390244,0.3333333333333333,0.4166489215182554,0.2857142857142857,0.0,0.0,0.25,0.0,0.6666666666666666,0.0,0.0,0.0,0.6578947368421053,0.5,1,4
3,0.34146341463414637,0.3333333333333333,0.3020452178941425,0.42857142857142855,0.5555555555555556,0.25,0.375,0.5,1.0,0.0,0.0,0.0,0.5263157894736842,0.25,1,2
4,0.8780487804878049,0.3333333333333333,0.527337622124065,0.42857142857142855,0.5555555555555556,0.5,0.5,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.25,1,5
5,0.6097560975609756,0.3333333333333333,0.1657097310486699,0.5714285714285714,0.3333333333333333,0.0,0.25,0.0,1.0,0.0,0.0,1.0,0.5263157894736842,0.25,1,5
6,0.7560975609756098,0.3333333333333333,0.3148256319389228,0.42857142857142855,0.5555555555555556,0.0,0.625,0.0,1.0,0.0,0.0,0.0,0.5263157894736842,0.25,1,5
7,0.04878048780487805,0.3333333333333333,0.4567523057296968,0.7142857142857143,0.6666666666666666,0.25,0.125,0.75,0.3333333333333333,0.0,0.0,0.0,0.631578947368421,0.25,1,5
8,0.6585365853658537,0.3333333333333333,0.69299069893744,0.0,1.0,0.75,0.75,0.75,1.0,0.0,0.0,0.6895200783545543,0.5263157894736842,0.25,1,4
9,0.2926829268292683,0.6666666666666666,0.054186845668002276,0.7142857142857143,0.6666666666666666,0.0,0.875,0.75,1.0,0.0,0.0,0.0,0.5263157894736842,0.25,1,3
10,0.7317073170731707,0.3333333333333333,0.41062989741676226,0.5714285714285714,0.3333333333333333,0.25,0.375,0.5,1.0,0.0,0.0,0.0,0.5263157894736842,0.75,1,2
11,0.024390243902439025,0.3333333333333333,1.0,0.42857142857142855,0.5555555555555556,1.0,0.875,1.0,1.0,1.0,0.0,0.0,0.13157894736842105,0.25,1,3
12,0.7317073170731707,1.0,0.45570127198526206,0.14285714285714285,0.8888888888888888,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5263157894736842,0.25,1,4
13,0.3170731707317073,0.3333333333333333,0.9292486280883884,0.8571428571428571,0.1111111111111111,0.0,0.375,0.0,1.0,0.0,0.0,0.0,0.6052631578947368,0.25,1,5
14,0.8536585365853658,1.0,0.10997173149018222,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5263157894736842,0.25,1,1
15,0.9512195121951219,0.6666666666666666,0.5971766654879981,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5263157894736842,0.25,0,3
16,0.8536585365853658,0.3333333333333333,0.2190897422623013,0.42857142857142855,0.5555555555555556,0.0,0.375,0.0,1.0,0.0,0.0,0.0,0.47368421052631576,0.25,1,1
17,0.2682926829268293,0.3333333333333333,0.4674013483708,1.0,0.7777777777777778,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.6052631578947368,0.25,1,2
18,0.0,0.3333333333333333,0.3804468651648736,0.42857142857142855,0.5555555555555556,0.25,0.5,0.75,1.0,1.0,0.0,0.0,0.2631578947368421,1.0,1,2
19,0.7804878048780488,0.6666666666666666,0.42856193968472894,0.0,1.0,0.75,0.75,0.25,1.0,0.0,0.0,0.0,0.9210526315789473,0.25,0,1
20,0.2682926829268293,0.3333333333333333,0.14336256561634925,0.7142857142857143,0.6666666666666666,0.75,1.0,0.25,1.0,0.0,0.0,0.0,1.0,0.25,1,5
21,0.12195121951219512,0.3333333333333333,0.35059985113611275,0.7142857142857143,0.6666666666666666,0.25,0.375,0.25,1.0,0.0,0.0,0.0,0.5263157894736842,0.25,1,1
22,0.5365853658536586,0.3333333333333333,0.0,0.14285714285714285,0.8888888888888888,0.0,0.875,0.0,1.0,0.0,0.0,0.0,0.5263157894736842,0.25,1,3
23,0.0,0.3333333333333333,0.5419661363960483,0.5714285714285714,0.3333333333333333,0.25,0.5,0.75,1.0,1.0,0.0,0.0,0.05263157894736842,0.25,1,5
24,0.0,0.3333333333333333,0.8100090451417039,0.42857142857142855,0.5555555555555556,0.25,0.125,0.25,1.0,0.0,0.0,0.0,0.2631578947368421,0.25,1,4
25,1.0,0.3333333333333333,0.24951892739857426,0.42857142857142855,0.5555555555555556,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.7368421052631579,0.25,1,4
26,0.6341463414634146,0.3333333333333333,0.6083043387376265,0.42857142857142855,0.5555555555555556,0.75,0.625,0.25,1.0,1.0,1.0,0.0,0.5263157894736842,0.25,0,1
